session_id,gender,age,os,active_user_flg,user_id,session_dttm,cnt_purchased_items,order_value,user_group
3ed823dd-d7f8-55e1-acb4-f15d067e29af,0,35,1,0,6af613b6-569c-5c22-9c37-2ed93f31d3af,2025-11-08 01:51:26,4,1254.748288108068,0
c1c14f31-2462-505d-a810-a8639cff82cf,1,37,1,0,4b166dbe-d99d-5091-abdd-95b83330ed3a,2025-10-27 22:00:48,5,1083.5886074569253,0
2cc7aafb-a379-51f6-836a-a7c1af699123,1,37,1,0,4b166dbe-d99d-5091-abdd-95b83330ed3a,2025-11-07 22:22:04,14,2871.2424789129827,0
716f116b-b06e-5ae1-adc0-72b76849036d,1,37,1,0,4b166dbe-d99d-5091-abdd-95b83330ed3a,2025-11-07 12:07:20,10,1427.3584902724622,0
469b795d-a742-5854-a13f-22deb474d407,1,42,0,0,98123fde-012f-5ff3-8b50-881449dac91a,2025-11-09 16:05:41,7,305.0852109160406,0
0e79b5fb-8661-52af-af73-073eb2992430,1,42,0,0,98123fde-012f-5ff3-8b50-881449dac91a,2025-11-06 20:19:32,6,211.5246745758957,0
48efff67-0440-5f37-83b6-f1e7d96b84e8,0,25,0,1,c8691da2-158a-5ed6-8537-0e6f140801f2,2025-11-03 16:20:26,5,477.02320128851176,0
40d0eef3-b571-53ba-81d1-c11645bc7df8,0,25,0,1,c8691da2-158a-5ed6-8537-0e6f140801f2,2025-10-31 04:36:23,5,493.64049074268365,0
05a0ef40-0bd1-51f8-945c-a0a2e43f4192,1,31,1,0,e99caacd-6c45-5906-bd9f-b79e62f25963,2025-10-31 08:56:35,7,656.4511591359787,0
45c53406-1ba8-5415-b696-be60316f5493,1,31,1,0,e99caacd-6c45-5906-bd9f-b79e62f25963,2025-11-09 19:32:50,11,928.2763658458625,0
abcb65c0-4359-5baf-a8ae-100d99da9bc7,1,31,1,0,e99caacd-6c45-5906-bd9f-b79e62f25963,2025-10-25 19:21:12,6,543.2852755370725,0
2141a100-7efc-5a79-af6e-a504a652edce,1,31,1,0,e99caacd-6c45-5906-bd9f-b79e62f25963,2025-10-27 09:03:16,12,1205.360560436818,0
6d9f8b80-8369-5057-b336-bf462d697ea6,0,27,0,0,e4d80b30-151e-51b5-9f4f-18a3b82718e6,2025-10-29 12:11:18,3,134.0854839586863,0
5ec319e8-dbd4-55c4-8f57-0256471ff6ae,0,27,0,0,e4d80b30-151e-51b5-9f4f-18a3b82718e6,2025-10-30 11:27:14,1,66.27815955730651,0
4381ac9b-bdb7-5481-a63f-7a1ada9bf973,0,27,0,0,e4d80b30-151e-51b5-9f4f-18a3b82718e6,2025-11-02 19:35:03,1,57.11040244347905,0
f3542f88-b626-5f3b-8bde-2f79a773ce54,0,27,0,0,e4d80b30-151e-51b5-9f4f-18a3b82718e6,2025-10-26 15:20:02,2,92.33092881092139,0
4ba24ae4-2606-5dfe-b479-7e81dc621eb0,1,30,0,0,52524d6e-10dc-5261-aa36-8b2efcbaa5f0,2025-11-03 07:45:28,4,573.6796107994887,0
1e307d58-712e-5f48-a4c9-b140716e6c72,1,30,0,0,52524d6e-10dc-5261-aa36-8b2efcbaa5f0,2025-11-01 20:13:19,3,393.60641583356414,0
