id,os
e5e8baae-e589-43b7-8100-e12c7c766736,iOS
47611368-82f2-4b8e-95fe-45381666bb96,Android
5ae59b45-42fd-4a81-b480-d58be5b37ad3,Android
c7c4df01-2f12-4378-9c7f-c2ed4d8bac81,Android
b19ed656-6ff6-4f55-b82d-23ca263116c2,iOS
ec9aae49-6839-4222-9afa-5229615d14d0,iOS
526fc502-853b-444f-9146-3633bde7da79,iOS
867177dc-ee58-4646-b821-a2d984b57079,Android
9d715e2e-7a6d-47e2-8304-e3eafdb02450,Android
7d9d161c-44cd-4402-87a2-29397e4a0dfa,Android
44cac530-7369-4dec-ac47-6c553d8ba75d,iOS
f4f17244-7d49-4b3f-a772-f9b63a006811,Android
07b625f7-65fd-497a-8c8d-28e0bc0faa63,Android
129a3dec-5988-44a5-a1e1-23b94837a42b,iOS
1210cb51-4f82-4b7a-99ed-f6d87b46335d,iOS
0d093a67-d1f3-43d9-a04f-7366c551e3a3,iOS
57b6fa86-b662-40ac-a1c8-9ea7c90ac2e9,iOS
fbb2cdac-69d8-4d1a-a129-eef0f8f6d208,Android
d2c9d4fa-1c8d-432c-8f36-a55ea5d3c200,Android
3011c9c1-bfdb-4ada-83e2-250f330efe02,iOS
7720d530-1bdf-4333-a161-650d00138033,Android
17905184-bb5c-4d43-9362-65f383ed68e5,iOS
4ce269f1-aadb-4f1b-a9d5-fb18335fd0e4,iOS
f4f03750-7c21-445a-836f-748248e719e0,iOS
6d2c8fee-9f6f-4ae7-9bf5-be50bc88799b,Android
d116ea49-285a-416b-acca-38965bb239a4,Android
21e51dcd-c0fe-4e44-a458-d320c84c7c89,iOS
05320ebd-edb7-433b-9d0e-8c7cc418bdda,Android
7a95ff98-c9b0-451f-92a3-de39c2d58b00,Android
41048b1d-7429-4dbd-8b0e-7ceddf850fda,iOS
9c3f1cd2-929c-47de-897a-91f893e83900,Android
49a81f83-7a09-4bea-9fe5-6e618c11facb,iOS
d462e257-7af8-4fa0-a860-d87902716796,iOS
bb300dab-87ee-497a-b8b3-5d893c43540e,Android
e45fc578-b976-4b84-95ac-8d23829099a8,Android
17d8c452-e535-4b5c-bf43-63f4fc7c7aaa,Android
f3ddcc8c-b030-4339-a43b-ddc4b626681f,iOS
b8857ef7-da26-44b9-ab30-4d759554c004,iOS
07c380c7-f020-4c8b-8222-ed873d9d1dfe,Android
86a6fd9a-2139-41f1-9769-9b06b14358c8,Android
a57c440d-9a81-484f-871a-3cb340751881,iOS
1f6cb89d-f5ee-4446-8304-83220d273318,Android
a5b56815-c056-4ae1-a11a-1b0a48eccbf7,iOS
07742842-9282-48e0-87bb-722b080cac59,Android
99fda82b-2c0a-4061-9c9b-01f6f55e65db,iOS
a433b704-eca1-46d4-8b0b-e5c4c574d523,Android
95df7085-ee24-420d-aa40-7f40fc1f23d5,iOS
489d3f09-b2e9-4f0e-8d45-72c0f925d3df,Android
07aab880-03c8-4a4a-8c79-b3119c075bf3,Android
9e27db56-66cc-467f-b5fc-e8800277bb2b,iOS
0cfe2de5-bab3-432a-a83c-6fb2b4e0b614,Android
7022c41d-fe5f-432b-89ff-434ec0c80a41,Android
cf41cdb9-c4f9-4f07-a4e6-82d786c9a36d,Android
eb5d4b17-20e5-41dd-8d46-971d10c74095,Android
c5cde156-8520-45a2-8a7f-650478b9e2c5,Android
e6d73b71-5461-4139-9c98-5c96572c1be7,Android
f4b86bc3-7d95-4738-8eb3-d45d7eabd489,iOS
4304b240-9560-4701-905a-6ebb40d0c797,iOS
354f9d13-a0cc-4ae1-add1-86979e8c0ec3,iOS
fda30120-9aa8-433c-915e-d61ffbfeb901,iOS
f84ecb03-bf8a-4126-9f55-958e61c02224,iOS
f3cdcbe3-19d4-43f9-b065-7ab46f86d75e,iOS
af79f731-edac-43bd-b327-3eea898b08ae,Android
55c3a9a4-ed45-43e5-9f35-d074f0fedd5c,iOS
cb73062e-424d-4f56-bb56-a66400f6753f,iOS
c4ac5d04-9da8-4e17-83f8-1fa596ce9b45,Android
14437cbe-3d97-4c21-a0c1-c1a11198e3f6,iOS
f2948615-e88c-4e51-a587-2e7b11a533fb,Android
579c7039-75a8-4a51-ae28-e331e02a038c,iOS
144068f5-bf99-4796-914e-f8523c3944cf,Android
b8c8c1f1-08f0-43f2-ab6d-4d43f0dd8e37,Android
e6f6eed9-0342-45a6-a398-5ca556f6b742,iOS
965005a9-d567-49f4-8bf4-269612d4cefe,iOS
3a1ffc9f-ae7a-4d25-9a81-5081214b60be,Android
b9dfb062-1d62-431e-822e-0b741b965ecd,Android
d45520a6-a1d1-482a-9740-287240012753,Android
e2e1d681-214f-49cd-8af9-535a3f824812,Android
f1f09b2f-81b2-4423-8802-229eb143a8b0,iOS
1a726a49-25cc-4178-ac83-30cb27c831d5,iOS
3a33b3b3-5bee-4854-ab88-71bf6dd05785,iOS
fc996e2d-81e2-4fc6-957d-06969dbcbcb2,Android
21f1a9e9-b5e6-41af-ad80-b2d8603ddcf0,Android
4a7a800b-97ab-4904-82ae-7c630bd2b4e9,iOS
86b385fc-36ed-486d-bdc4-ab3261e46f8d,iOS
10a881ee-a327-438a-bb85-d951ef5fb8bf,iOS
f3231ca4-6a36-4c1d-8153-b6a86fd19851,iOS
3cc73792-01fb-4d70-8cfb-9872a152b8e5,Android
91f01dbb-ef57-4fda-9c3c-46d151bf1cf7,Android
21d24b6a-3d4e-45d9-a376-1f3cc8d62874,Android
4dca7ccd-b0fa-4bb7-b9e9-e0fd62351def,Android
